,Timestamp,Enter your Wallet ID provided,Choose a Price,output
7,2/12/2023 16:28:51,CEPHEUS262,1400,1400.0
2,2/12/2023 16:30:11,CEPHEUS136,1260,1260.0
19,2/12/2023 16:30:10,CEPHEUS781,630,630.0
0,2/12/2023 16:29:01,CEPHEUS101,1160,580.0
3,2/12/2023 16:29:06,CEPHEUS152,1160,580.0
28,2/12/2023 16:29:09,CEPHEUS940,1120,560.0
21,2/12/2023 16:29:08,CEPHEUS824,1120,560.0
16,2/12/2023 16:28:19,CEPHEUS640,1320,440.0
27,2/12/2023 16:31:34,CEPHEUS939,1320,440.0
29,2/12/2023 16:30:48,CEPHEUS977,1320,440.0
20,2/12/2023 16:30:10,CEPHEUS795,720,360.0
18,2/12/2023 16:29:03,CEPHEUS697,720,360.0
8,2/12/2023 16:31:11,CEPHEUS273,900,300.0
1,2/12/2023 16:28:30,CEPHEUS117,900,300.0
17,2/12/2023 16:28:36,CEPHEUS644,900,300.0
26,2/12/2023 16:30:49,CEPHEUS938,540,270.0
25,2/12/2023 16:29:04,CEPHEUS905,540,270.0
4,2/12/2023 16:30:28,CEPHEUS164,1070,214.0
11,2/12/2023 16:28:51,CEPHEUS438,1070,214.0
10,2/12/2023 16:31:37,CEPHEUS427,1070,214.0
14,2/12/2023 16:31:39,CEPHEUS583,1070,214.0
15,2/12/2023 16:30:08,CEPHEUS597,1070,214.0
9,2/12/2023 16:29:04,CEPHEUS369,960,192.0
6,2/12/2023 16:30:14,CEPHEUS241,960,192.0
24,2/12/2023 16:30:25,CEPHEUS899,960,192.0
13,2/12/2023 16:29:08,CEPHEUS529,960,192.0
5,2/12/2023 16:28:42,CEPHEUS207,960,192.0
22,0,CEPHEUS828,0,0.0
23,0,CEPHEUS841,0,0.0
12,0,CEPHEUS456,0,0.0
